date,username,tweet,language,hashtags,cashtags,nlikes,nreplies,nretweets
2022-04-24 05:20:17,ibrahim_klc11, https://t.co/ZM35rusieY #NFT #NFTs #NFTCommmunity #NFTGiveaway #nftcollector #NFTdrop #NFTcollections #NFTartist #NFTart #NFTphotographers #nftphotographer #NFTphotograph  I have a life experience in every strand of my beard that falls white.  0.15 ETH  https://t.co/3NHY72GXa1,en,"['nft', 'nfts', 'nftcommmunity', 'nftgiveaway', 'nftcollector', 'nftdrop', 'nftcollections', 'nftartist', 'nftart', 'nftphotographers', 'nftphotographer', 'nftphotograph']",[],6,0,0
2022-04-24 05:20:11,cluckproject,Have a Good Night friends🐤💤💤  #nft #nfts #ccp #nftproject #nftcommunity  https://t.co/9zqxQQ69jc,en,"['nft', 'nfts', 'ccp', 'nftproject', 'nftcommunity']",[],12,1,1
2022-04-24 05:20:07,ProfessorCrPtO,Which #NFTs are new at the moment ?   #NFTCommunity #NFTGiveaway #NFT #NFTdrop #NFTProject,en,"['nfts', 'nftcommunity', 'nftgiveaway', 'nft', 'nftdrop', 'nftproject']",[],9,0,0
2022-04-24 05:20:03,bitvots,#NFT Statistics (Real-Time) Collection: crypto-pills-by-micha-klein #bitvotsNFT #NFTs #NFTlaunch #Metaverse Follow + RT = ❤  https://t.co/d3jCbo8ONm,en,"['nft', 'bitvotsnft', 'nfts', 'nftlaunch', 'metaverse']",[],3,0,0
2022-04-24 05:20:03,ibrahim_klc11, https://t.co/Q37QqOjbbs #NFT #NFTs #NFTCommmunity #NFTGiveaway #nftcollector #NFTdrop #NFTcollections #NFTartist #NFTart #NFTphotographers #nftphotographer #NFTphotograph   Love needs sacrifice.  0.07 ETH  https://t.co/tFgslKPgbE,en,"['nft', 'nfts', 'nftcommmunity', 'nftgiveaway', 'nftcollector', 'nftdrop', 'nftcollections', 'nftartist', 'nftart', 'nftphotographers', 'nftphotographer', 'nftphotograph']",[],7,0,0
2022-04-24 05:20:01,rainbowtiger01,おはようございます！☀️ (2022/04/24 07:17:56)  最近は数々のプロジェクトを追いかけるので大変です！  皆さんはどのように、スケジュール等管理されているのでしょう〜？👀  #NFT #NFTs,ja,"['nft', 'nfts']",[],5,0,0
2022-04-24 05:19:56,Uniq_cx,Real-time charts for Kaiju Kingz.  Follow us for exclusive updates on the top NFT collections.  Live charts at:  https://t.co/HEfooeXM0P  #KaijuKingz  #NFT #NFTs #web3 #ethereum  https://t.co/kdG38OAjM1,en,"['kaijukingz', 'nft', 'nfts', 'web3', 'ethereum']",[],5,0,0
2022-04-24 05:19:50,TopCreativeNFT,Post stamp #93 - The arrest of the propagandist #NFT #NFTCommmunity #NFTs  https://t.co/BG3EsdKU11 через @opensea,cs,"['nft', 'nftcommmunity', 'nfts']",[],5,1,0
2022-04-24 05:19:46,Nft_Reese,Grab Me a Couple Of these Cool Boys😎🤙🔥🤟 @CoolBoysNFT Free Mint Everyone til they Reach 1000 mints #Nft #nft #Nfts  https://t.co/0szv2xP5s4,en,"['nft', 'nft', 'nfts']",[],3,0,0
2022-04-24 05:19:44,ibrahim_klc11, https://t.co/06a7Y8KGdz #NFT #NFTs #NFTCommmunity #NFTGiveaway #nftcollector #NFTdrop #NFTcollections #NFTartist #NFTart #NFTphotographers #nftphotographer #NFTphotograph  FREEDOM 0.07 ETH  https://t.co/Kq5zuS5GVf,et,"['nft', 'nfts', 'nftcommmunity', 'nftgiveaway', 'nftcollector', 'nftdrop', 'nftcollections', 'nftartist', 'nftart', 'nftphotographers', 'nftphotographer', 'nftphotograph']",[],4,0,0
